CustomerID,Lookalikes
C0001,"[('C0137', 0.9911), ('C0147', 0.9646), ('C0184', 0.9481)]"
C0002,"[('C0159', 0.9895), ('C0166', 0.98), ('C0178', 0.9782)]"
C0003,"[('C0133', 0.9721), ('C0076', 0.9703), ('C0174', 0.9508)]"
C0004,"[('C0113', 0.9719), ('C0165', 0.9652), ('C0169', 0.9572)]"
C0005,"[('C0069', 0.9963), ('C0159', 0.9955), ('C0178', 0.9788)]"
C0006,"[('C0187', 0.9878), ('C0126', 0.9566), ('C0011', 0.9545)]"
C0007,"[('C0146', 0.9992), ('C0140', 0.9702), ('C0070', 0.948)]"
C0008,"[('C0046', 0.9077), ('C0122', 0.8986), ('C0012', 0.8868)]"
C0009,"[('C0167', 0.9698), ('C0198', 0.9627), ('C0119', 0.962)]"
C0010,"[('C0019', 0.9874), ('C0073', 0.9735), ('C0172', 0.9659)]"
C0011,"[('C0191', 0.9663), ('C0006', 0.9545), ('C0137', 0.9384)]"
C0012,"[('C0163', 0.9951), ('C0122', 0.9493), ('C0195', 0.9391)]"
C0013,"[('C0102', 0.9804), ('C0104', 0.9686), ('C0155', 0.9639)]"
C0014,"[('C0060', 0.9994), ('C0198', 0.9805), ('C0097', 0.9631)]"
C0015,"[('C0036', 0.9824), ('C0058', 0.9666), ('C0033', 0.9643)]"
C0016,"[('C0158', 0.9002), ('C0183', 0.8762), ('C0152', 0.8467)]"
C0017,"[('C0075', 0.9852), ('C0045', 0.9547), ('C0028', 0.9497)]"
C0018,"[('C0068', 0.9934), ('C0165', 0.9696), ('C0156', 0.964)]"
C0019,"[('C0073', 0.9949), ('C0172', 0.9916), ('C0010', 0.9874)]"
C0020,"[('C0058', 0.9661), ('C0033', 0.9622), ('C0130', 0.9488)]"
